[ 5, 1, 12501, 16, 128, 486, 1938, 9933 ]
[ 7, 1, 100845, 41, 288, 2030, 12277, 86209 ]
[ 11, 1, 1610514, 152, 1207, 13371, 133275, 1462509 ]
[ 13, 1, 4455525, 243, 2038, 26585, 316190, 4110469 ]
[ 17, 1, 22717720, 401, 4524, 78900, 1259814, 21374081 ]
[ 19, 1, 44569780, 578, 6230, 124680, 2230866, 42207426 ]
[ 23, 1, 141599590, 941, 11198, 271326, 5927070, 135389055 ]
[ 29, 1, 574312130, 1762, 22896, 685556, 19170240, 554431676 ]
[ 31, 1, 858874573, 1955, 27893, 903422, 26957175, 830984128 ]
[ 37, 1, 2496382422, 3002, 48441, 1825621, 65697474, 2428807884 ]
[ 41, 1, 4634248032, 3827, 64627, 2764587, 110544399, 4520870592 ]
[ 43, 1, 6174354564, 4521, 74963, 3352020, 140469514, 6030453546 ]
