5, 2, 10000000, 20, 616, 16016, 383554, 9599794
7, 2, 10000000, 2, 95, 4123, 200138, 9795642
11, 2, 10000000, 0, 9, 679, 82153, 9917159
13, 2, 10000000, 0, 3, 347, 59071, 9940579
17, 2, 10000000, 0, 1, 126, 34819, 9965054
19, 2, 10000000, 0, 0, 78, 27436, 9972486
23, 2, 10000000, 0, 0, 38, 18896, 9981066
29, 2, 10000000, 0, 0, 17, 11787, 9988196
31, 2, 10000000, 0, 0, 17, 10322, 9989661
37, 2, 10000000, 0, 0, 4, 7307, 9992689
41, 2, 10000000, 0, 0, 7, 5926, 9994067
43, 2, 10000000, 0, 0, 3, 5487, 9994510
47, 2, 10000000, 0, 0, 2, 4528, 9995470
53, 2, 10000000, 0, 0, 0, 3426, 9996574
59, 2, 10000000, 0, 0, 0, 2879, 9997121
61, 2, 10000000, 0, 0, 0, 2550, 9997450
67, 2, 10000000, 0, 0, 0, 2251, 9997749
71, 2, 10000000, 0, 0, 1, 2008, 9997991
73, 2, 10000000, 0, 0, 0, 1904, 9998096
79, 2, 10000000, 0, 0, 0, 1557, 9998443
83, 2, 10000000, 0, 0, 0, 1424, 9998576
89, 2, 10000000, 0, 0, 0, 1203, 9998797
97, 2, 10000000, 0, 0, 1, 1083, 9998916
101, 2, 10000000, 0, 0, 1, 1005, 9998994
103, 2, 10000000, 0, 0, 1, 1005, 9998994
107, 2, 10000000, 0, 0, 0, 903, 9999097
109, 2, 10000000, 0, 0, 0, 803, 9999197
113, 2, 10000000, 0, 0, 0, 792, 9999208
127, 2, 10000000, 0, 0, 0, 618, 9999382
131, 2, 10000000, 0, 0, 0, 584, 9999416
137, 2, 10000000, 0, 0, 0, 522, 9999478
139, 2, 10000000, 0, 0, 0, 554, 9999446
149, 2, 10000000, 0, 0, 0, 494, 9999506
151, 2, 10000000, 0, 0, 0, 457, 9999543
157, 2, 10000000, 0, 0, 0, 385, 9999615
163, 2, 10000000, 0, 0, 0, 370, 9999630
167, 2, 10000000, 0, 0, 0, 342, 9999658
173, 2, 10000000, 0, 0, 0, 348, 9999652
179, 2, 10000000, 0, 0, 0, 301, 9999699
181, 2, 10000000, 0, 0, 0, 297, 9999703
191, 2, 10000000, 0, 0, 0, 259, 9999741
193, 2, 10000000, 0, 0, 0, 263, 9999737
197, 2, 10000000, 0, 0, 0, 273, 9999727
199, 2, 10000000, 0, 0, 0, 215, 9999785
211, 2, 10000000, 0, 0, 0, 223, 9999777
223, 2, 10000000, 0, 0, 0, 198, 9999802
227, 2, 10000000, 0, 0, 0, 217, 9999783
229, 2, 10000000, 0, 0, 0, 191, 9999809
233, 2, 10000000, 0, 0, 0, 181, 9999819
239, 2, 10000000, 0, 0, 0, 160, 9999840
241, 2, 10000000, 0, 0, 0, 143, 9999857
251, 2, 10000000, 0, 0, 0, 175, 9999825
257, 2, 10000000, 0, 0, 0, 155, 9999845
263, 2, 10000000, 0, 0, 0, 148, 9999852
269, 2, 10000000, 0, 0, 0, 138, 9999862
271, 2, 10000000, 0, 0, 0, 132, 9999868
277, 2, 10000000, 0, 0, 0, 135, 9999865
281, 2, 10000000, 0, 0, 0, 122, 9999878
283, 2, 10000000, 0, 0, 0, 122, 9999878
293, 2, 10000000, 0, 0, 0, 125, 9999875
