[ 31, 1, 100000000, 211, 3224, 105130, 3139351, 96752084 ]
[ 37, 1, 100000000, 125, 2007, 73431, 2629043, 97295394 ]
[ 41, 1, 100000000, 81, 1374, 59828, 2387210, 97551507 ]
[ 43, 1, 100000000, 85, 1211, 53867, 2274809, 97670028 ]
[ 47, 1, 100000000, 46, 950, 45426, 2092922, 97860656 ]
[ 53, 1, 100000000, 33, 663, 35408, 1852124, 98111772 ]
[ 59, 1, 100000000, 20, 438, 29057, 1671857, 98298628 ]
[ 61, 1, 100000000, 23, 485, 26910, 1614876, 98357706 ]
[ 67, 1, 100000000, 12, 293, 22498, 1473655, 98503542 ]
[ 71, 1, 100000000, 15, 293, 19854, 1394561, 98585277 ]
[ 73, 1, 100000000, 10, 273, 18623, 1352749, 98628345 ]
[ 79, 1, 100000000, 13, 179, 16099, 1253699, 98730010 ]
[ 83, 1, 100000000, 4, 172, 14649, 1193820, 98791355 ]
[ 89, 1, 100000000, 3, 142, 12653, 1111121, 98876081 ]
[ 97, 1, 100000000, 4, 106, 10532, 1018137, 98971221 ]
[ 101, 1, 100000000, 2, 91, 9814, 981391, 99008702 ]
[ 103, 1, 100000000, 6, 87, 9318, 963913, 99026676 ]
[ 107, 1, 100000000, 1, 84, 8721, 925810, 99065384 ]
[ 109, 1, 100000000, 0, 87, 8516, 910296, 99081101 ]
[ 113, 1, 100000000, 1, 57, 7907, 877089, 99114946 ]
[ 127, 1, 100000000, 2, 52, 6244, 782856, 99210846 ]
[ 131, 1, 100000000, 3, 39, 5759, 759002, 99235197 ]
[ 137, 1, 100000000, 2, 47, 5373, 725036, 99269542 ]
[ 139, 1, 100000000, 0, 52, 5190, 713870, 99280888 ]
[ 149, 1, 100000000, 2, 38, 4426, 667193, 99328341 ]
[ 151, 1, 100000000, 2, 26, 4418, 657663, 99337891 ]
[ 157, 1, 100000000, 1, 31, 4047, 633230, 99362691 ]
[ 163, 1, 100000000, 0, 25, 3757, 609624, 99386594 ]
[ 167, 1, 100000000, 2, 13, 3624, 596244, 99400117 ]
[ 173, 1, 100000000, 2, 7, 3361, 575054, 99421576 ]
[ 179, 1, 100000000, 0, 13, 3200, 555977, 99440810 ]
[ 181, 1, 100000000, 0, 14, 3111, 549296, 99447579 ]
[ 191, 1, 100000000, 0, 7, 2751, 522109, 99475133 ]
[ 193, 1, 100000000, 1, 18, 2730, 514939, 99482312 ]
[ 197, 1, 100000000, 0, 22, 2570, 506180, 99491228 ]
