[ 5, 1, 49994,  67, 400, 1933, 7953, 39641 ]
[ 7, 1, 605044,  263, 1697, 12386, 73166, 517532 ]
[ 11, 1, 16105103,  1454, 12122, 134484, 1330765, 14626278 ]
[ 13, 1, 53466170,  2699, 24127, 317043, 3792879, 49329422 ]
[ 17, 1, 363483389,  6638, 72179, 1261923, 20178079, 341964570 ]
[ 19, 1, 802256077,  10534, 113061, 2243579, 40162604, 759726299 ]
[ 23, 1, 3115189963,  21536, 246689, 5967291, 130523863, 2978430584 ]
[ 29, 1, 16635909491,  49863, 662019, 19852927, 555425910, 16059918772 ]
