[ 5, 4, 100000000, 0, 0, 236, 159523, 99840241 ]
[ 7, 4, 100000000, 0, 0, 16, 41490, 99958494 ]
[ 11, 4, 100000000, 0, 0, 1, 6809, 99993190 ]
[ 13, 4, 100000000, 0, 0, 0, 3520, 99996480 ]
[ 17, 4, 100000000, 0, 0, 0, 1249, 99998751 ]
[ 19, 4, 100000000, 0, 0, 0, 746, 99999254 ]
[ 23, 4, 100000000, 0, 0, 0, 354, 99999646 ]
[ 29, 4, 100000000, 0, 0, 0, 144, 99999856 ]
[ 31, 4, 100000000, 0, 0, 0, 90, 99999910 ]
[ 37, 4, 100000000, 0, 0, 0, 51, 99999949 ]
[ 41, 4, 100000000, 0, 0, 0, 35, 99999965 ]
[ 43, 4, 100000000, 0, 0, 0, 34, 99999966 ]
