3, 3, 8767490, 459, 11296, 306071, 8449664
5, 3, 100000000, 48, 6429, 793684, 99199839
11, 3, 100000000, 0, 55, 75136, 99924809
13, 3, 100000000, 0, 23, 45261, 99954716
17, 3, 100000000, 0, 5, 20597, 99979398
19, 3, 100000000, 0, 6, 14784, 99985210
23, 3, 100000000, 0, 1, 8400, 99991599
29, 3, 100000000, 0, 0, 4063, 99995937
31, 3, 100000000, 0, 0, 3334, 99996666
37, 3, 100000000, 0, 0, 2057, 99997943
41, 3, 100000000, 0, 0, 1443, 99998557
43, 3, 100000000, 0, 0, 1225, 99998775
47, 3, 100000000, 0, 0, 948, 99999052
53, 3, 100000000, 0, 0, 667, 99999333
59, 3, 100000000, 0, 0, 492, 99999508
61, 3, 100000000, 0, 0, 447, 99999553
67, 3, 100000000, 0, 0, 337, 99999663
71, 3, 100000000, 0, 0, 305, 99999695
73, 3, 100000000, 0, 0, 230, 99999770
79, 3, 100000000, 0, 0, 161, 99999839
83, 3, 100000000, 0, 0, 163, 99999837
89, 3, 100000000, 0, 0, 128, 99999872
97, 3, 100000000, 0, 0, 110, 99999890
