[ 53, 1, 10000000, 205, 3535, 189137, 9807123 ]
[ 59, 1, 10000000, 155, 2878, 178144, 9818823 ]
[ 61, 1, 10000000, 132, 2616, 164761, 9832491 ]
[ 67, 1, 10000000, 109, 2049, 148418, 9849424 ]
[ 71, 1, 10000000, 118, 1895, 152125, 9845862 ]
[ 73, 1, 10000000, 90, 1683, 136113, 9862114 ]
[ 79, 1, 10000000, 70, 1544, 132640, 9865746 ]
[ 83, 1, 10000000, 63, 1433, 124389, 9874115 ]
[ 89, 1, 10000000, 59, 1157, 114294, 9884490 ]
[ 97, 1, 10000000, 28, 1004, 102513, 9896455 ]
[ 101, 1, 10000000, 46, 920, 101282, 9897752 ]
[ 103, 1, 10000000, 35, 936, 99984, 9899045 ]
[ 107, 1, 10000000, 41, 860, 96132, 9902967 ]
[ 109, 1, 10000000, 33, 816, 91176, 9907975 ]
[ 113, 1, 10000000, 27, 723, 88834, 9910416 ]
[ 127, 1, 10000000, 30, 570, 81040, 9918360 ]
[ 131, 1, 10000000, 35, 540, 79735, 9919690 ]
[ 137, 1, 10000000, 27, 503, 72863, 9926607 ]
[ 139, 1, 10000000, 14, 481, 73348, 9926157 ]
[ 149, 1, 10000000, 12, 431, 67977, 9931580 ]
[ 151, 1, 10000000, 17, 411, 68749, 9930823 ]
[ 157, 1, 10000000, 15, 414, 63308, 9936263 ]
[ 163, 1, 10000000, 8, 345, 60498, 9939149 ]
[ 167, 1, 10000000, 13, 344, 63070, 9936573 ]
[ 173, 1, 10000000, 11, 322, 58423, 9941244 ]
[ 179, 1, 10000000, 12, 273, 57180, 9942535 ]
[ 181, 1, 10000000, 8, 289, 55387, 9944316 ]
[ 191, 1, 10000000, 9, 250, 55534, 9944207 ]
[ 193, 1, 10000000, 7, 248, 51769, 9947976 ]
[ 197, 1, 10000000, 12, 239, 51207, 9948542 ]
[ 199, 1, 10000000, 10, 241, 52431, 9947318 ]
