[ 3, 2, 46660, 64, 456, 4146, 41994 ]
[ 5, 2, 6628256, 505, 10410, 254680, 6362661 ]
[ 7, 2, 10000000, 189, 4338, 203740, 9791733 ]
[ 11, 2, 10000000, 10, 720, 81768, 9917502 ]
[ 13, 2, 10000000, 2, 377, 58675, 9940946 ]
[ 17, 2, 10000000, 0, 122, 34855, 9965023 ]
[ 19, 2, 10000000, 1, 78, 27595, 9972326 ]
[ 23, 2, 10000000, 0, 38, 18680, 9981282 ]
[ 29, 2, 10000000, 0, 10, 12073, 9987917 ]
[ 31, 2, 10000000, 0, 11, 10456, 9989533 ]
[ 37, 2, 10000000, 0, 4, 7272, 9992724 ]
[ 41, 2, 10000000, 0, 2, 5890, 9994108 ]
[ 43, 2, 10000000, 0, 3, 5488, 9994509 ]
[ 47, 2, 10000000, 0, 2, 4501, 9995497 ]
[ 53, 2, 10000000, 0, 2, 3514, 9996484 ]
[ 59, 2, 10000000, 0, 1, 2913, 9997086 ]
[ 61, 2, 10000000, 0, 0, 2673, 9997327 ]
[ 67, 2, 10000000, 0, 0, 2216, 9997784 ]
[ 71, 2, 10000000, 0, 0, 2021, 9997979 ]
[ 73, 2, 10000000, 0, 1, 1818, 9998181 ]
[ 79, 2, 10000000, 0, 0, 1570, 9998430 ]
[ 83, 2, 10000000, 0, 0, 1398, 9998602 ]
[ 89, 2, 10000000, 0, 0, 1267, 9998733 ]
[ 97, 2, 10000000, 0, 0, 1052, 9998948 ]
