[7, 2, 100000000, 21, 881, 41795, 1998248, 97959055]
[11, 2, 100000000, 0, 46, 6756, 819556, 99173642]
[13, 2, 100000000, 0, 28, 3554, 588488, 99407930]
[17, 2, 100000000, 0, 6, 1221, 345281, 99653492]
[19, 2, 100000000, 0, 2, 787, 276595, 99722616]
[23, 2, 100000000, 0, 0, 360, 188311, 99811329]
[29, 2, 100000000, 0, 0, 135, 118700, 99881165]
[31, 2, 100000000, 0, 0, 96, 103318, 99896586]
[37, 2, 100000000, 0, 0, 44, 72771, 99927185]
[41, 2, 100000000, 0, 0, 27, 59444, 99940529]
[43, 2, 100000000, 0, 0, 23, 54070, 99945907]
[47, 2, 100000000, 0, 0, 17, 45069, 99954914]
[53, 2, 100000000, 0, 0, 21, 35657, 99964322]
[59, 2, 100000000, 0, 0, 7, 28443, 99971550]
[61, 2, 100000000, 0, 0, 8, 27241, 99972751]
[67, 2, 100000000, 0, 0, 13, 22181, 99977806]
[71, 2, 100000000, 0, 0, 4, 19681, 99980315]
[73, 2, 100000000, 0, 0, 2, 18698, 99981300]
[79, 2, 100000000, 0, 0, 1, 16126, 99983873]
[83, 2, 100000000, 0, 0, 4, 14432, 99985564]
[89, 2, 100000000, 0, 0, 0, 12738, 99987262]
[97, 2, 100000000, 0, 0, 0, 10634, 99989366]
