[5, 3, 100000000, 0, 60, 6359, 792881, 99200700]
[7, 3, 100000000, 0, 3, 839, 291161, 99707997]
[11, 3, 100000000, 0, 0, 57, 75147, 99924796]
[13, 3, 100000000, 0, 0, 19, 45518, 99954463]
[17, 3, 100000000, 0, 0, 5, 20232, 99979763]
[19, 3, 100000000, 0, 0, 1, 14643, 99985356]
[23, 3, 100000000, 0, 0, 1, 8290, 99991709]
[29, 3, 100000000, 0, 0, 0, 4033, 99995967]
[31, 3, 100000000, 0, 0, 0, 3372, 99996628]
[37, 3, 100000000, 0, 0, 0, 1917, 99998083]
[41, 3, 100000000, 0, 0, 0, 1465, 99998535]
[43, 3, 100000000, 0, 0, 0, 1349, 99998651]
[47, 3, 100000000, 0, 0, 0, 1005, 99998995]
[53, 3, 100000000, 0, 0, 0, 696, 99999304]
[59, 3, 100000000, 0, 0, 0, 470, 99999530]
[61, 3, 100000000, 0, 0, 0, 448, 99999552]
[67, 3, 100000000, 0, 0, 0, 330, 99999670]
[71, 3, 100000000, 0, 0, 0, 269, 99999731]
[73, 3, 100000000, 0, 0, 0, 236, 99999764]
[79, 3, 100000000, 0, 0, 0, 205, 99999795]
[83, 3, 100000000, 0, 0, 0, 190, 99999810]
[89, 3, 100000000, 0, 0, 0, 145, 99999855]
[97, 3, 100000000, 0, 0, 0, 111, 99999889]
