[ 3, 3, 10000000, 0, 25, 514, 13716, 356702, 9629043 ]
[ 5, 3, 10000000, 0, 0, 4, 672, 79192, 9920132 ]
[ 7, 3, 10000000, 0, 0, 0, 82, 29193, 9970725 ]
[ 11, 3, 10000000, 0, 0, 0, 6, 7540, 9992454 ]
[ 13, 3, 10000000, 0, 0, 0, 1, 4481, 9995518 ]
[ 17, 3, 10000000, 0, 0, 0, 0, 2004, 9997996 ]
[ 19, 3, 10000000, 0, 0, 0, 0, 1417, 9998583 ]
[ 23, 3, 10000000, 0, 0, 0, 0, 816, 9999184 ]
[ 29, 3, 10000000, 0, 0, 0, 0, 419, 9999581 ]
[ 31, 3, 10000000, 0, 0, 0, 0, 347, 9999653 ]
[ 37, 3, 10000000, 0, 0, 0, 0, 217, 9999783 ]
[ 41, 3, 10000000, 0, 0, 0, 0, 136, 9999864 ]
[ 43, 3, 10000000, 0, 0, 0, 0, 117, 9999883 ]
[ 47, 3, 10000000, 0, 0, 0, 0, 81, 9999919 ]
[ 53, 3, 10000000, 0, 0, 0, 0, 67, 9999933 ]
[ 59, 3, 10000000, 0, 0, 0, 0, 60, 9999940 ]
[ 61, 3, 10000000, 0, 0, 0, 0, 41, 9999959 ]
[ 67, 3, 10000000, 0, 0, 0, 0, 33, 9999967 ]
[ 71, 3, 10000000, 0, 0, 0, 0, 33, 9999967 ]
[ 73, 3, 10000000, 0, 0, 0, 0, 14, 9999986 ]
[ 79, 3, 10000000, 0, 0, 0, 0, 16, 9999984 ]
[ 83, 3, 10000000, 0, 0, 0, 0, 20, 9999980 ]
[ 89, 3, 10000000, 0, 0, 0, 0, 14, 9999986 ]
[ 97, 3, 10000000, 0, 0, 0, 0, 10, 9999990 ]
